feature,feature_type,drift_score,risk_score,severity,importance,ks_stat,ks_pvalue,js_divergence,chi2_stat,chi2_pvalue,psi,unseen_rate,baseline_mean,live_mean,baseline_unique,live_unique,alert,note,status
ct_state_ttl,numeric,0.7286223941706833,0.5527416098575104,severe,0.5172237753868103,0.758,3.744744694792973e-191,0.5581574804863505,0.0,1.0,10.813740551733165,0.0,0.8388,2.0,3,1,True,,severe
ct_dst_src_ltm,numeric,0.9448376266175195,0.47869168361323294,severe,0.01327819749712944,0.992,2e-323,0.790550506470078,0.0,1.0,13.647233055045932,0.0,6.2344,45.0,45,1,True,,severe
ct_dst_ltm,numeric,0.945728369997748,0.47410782232067755,severe,0.002630009548738599,0.9908,2e-323,0.7957934799909921,0.0,1.0,13.53340133435871,0.0,4.9248,39.0,39,1,True,,severe
ct_src__ltm,numeric,0.9410605858529377,0.4709379816076071,severe,0.0008664451306685805,0.9896,2e-323,0.7788023434117508,0.0,1.0,13.106766115002506,0.0,5.51,39.0,39,1,True,,severe
stime,numeric,0.8277056432893196,0.4144626204018889,severe,0.0014734676806256175,0.9892,2.5e-323,0.7957934799909921,0.0,1.0,12.692190959964956,0.0,-0.2834558488777078,0.012259760059889192,2396,1,True,,severe
dttl,numeric,0.6277117812740435,0.3770335505914766,severe,0.20129512250423431,0.5065248677248677,6.00089860257614e-78,0.7320197336969085,0.0,1.0,11.975279577619826,0.0,1.8052,2.394179894179894,4,5,True,,severe
sport,numeric,0.7069264926172945,0.35436768853099565,severe,0.0025588013231754303,0.7389544973544974,7.848077932997592e-180,0.45220694631073627,0.0,1.0,3.100415947990639,0.0,7.6148,0.3915343915343915,6,4,True,,severe
sttl,numeric,0.6626264214216402,0.34590310471375363,severe,0.044036559760570526,0.482,3.202010853825385e-70,0.9241171297406073,0.0,1.0,24.305044402327873,0.0,2.5956,2.955026455026455,3,2,True,,severe
sjit,numeric,0.6600749833512399,0.33051645057160334,severe,0.0014512257184833288,0.6137544973544974,7.7855812890573735e-118,0.6596099174592989,0.0,1.0,13.650024767904844,0.0,0.6685011690484022,-0.02166225105915696,1585,318,True,,severe
djit,numeric,0.6093378571533017,0.3051391522938392,severe,0.001543392427265644,0.5702349206349207,2.2157174273835246e-100,0.5699198829763478,0.0,1.0,12.998231887763149,0.0,3.740434109662297,-0.19266112312886643,1612,300,True,,severe
dintpkt,numeric,0.6020228950322298,0.3014568324912741,severe,0.0014796280302107334,0.5881079365079365,2.5051232712364065e-107,0.46378290893985835,0.0,1.0,6.373090900679457,0.0,42.701409744422094,0.15323093923045292,1618,293,True,,severe
sintpkt,numeric,0.5825359863345121,0.291565257814167,severe,0.0010205880971625447,0.5472888888888889,6.81823285354842e-92,0.47941205139144644,0.0,1.0,6.367603718957675,0.0,45.54258349936595,0.7429509544230766,1651,332,True,,severe
dsport,numeric,0.5597071350093815,0.28433872949125555,moderate,0.0160268172621727,0.5415809523809524,7.397846109562047e-90,0.2946680224757126,0.0,1.0,3.103549130008427,0.0,5.3644,1.8227513227513228,11,5,False,,moderate
sload,numeric,0.5630491204593582,0.2818758675713399,severe,0.0012478745775297284,0.579589417989418,5.602182832310506e-104,0.3770601075373896,0.0,1.0,5.312832402055621,0.0,1.0584742138774785,0.14741762132464076,1913,293,True,,severe
sbytes,numeric,0.45779360630977906,0.23231493581713958,moderate,0.014933072961866856,0.2946116402116402,1.0620513444411862e-25,0.38953424073182924,0.0,1.0,3.89934337423472,0.0,1.6970751013215937,0.7588315502412419,706,193,False,,moderate
dload,numeric,0.459838580821778,0.23029101165409135,moderate,0.0016167466528713703,0.3692994708994709,1.5535363275450908e-40,0.24721938855077838,0.0,1.0,3.429467571962234,0.0,2.033730463408625,0.0027330798627001256,1758,330,False,,moderate
dur,numeric,0.45526738363805974,0.22787981815719796,moderate,0.0010812386171892285,0.3276253968253968,8.29549580883824e-32,0.2630356083393107,0.0,1.0,3.5754127445489514,0.0,0.805124882930371,1.9197250953087779,1767,331,False,,moderate
smeansz,numeric,0.4440390108490212,0.22376995568490235,moderate,0.007884218357503414,0.31336296296296295,4.400618092272891e-29,0.30255728442924346,0.0,1.0,2.410794633646562,0.0,1.1404,1.700692002141806,311,201,False,,moderate
tcprtt,numeric,0.4336265055964488,0.21726442467296458,moderate,0.00208092387765646,0.3038666666666667,2.426824319166216e-27,0.2813474919698304,0.0,1.0,3.311812733379722,0.0,0.04764861945437733,0.03756237558271519,1155,248,False,,moderate
dmeansz,numeric,0.4022102161571489,0.20282688320384615,moderate,0.008561568334698677,0.3405883597883598,2.126717237787662e-34,0.1079057693757579,0.0,1.0,1.406841003792373,0.0,0.908735294117647,1.1794463441708063,413,253,False,,moderate
dbytes,numeric,0.3702360218680925,0.18683582554072706,low,0.009279564954340458,0.24065820105820107,3.3291015790689136e-17,0.12423024194663518,0.0,1.0,0.7440360156359582,0.0,5.2832950389610405,2.998134061705492,671,256,False,,low
